Red,Green,Blue
0.444,0.306,0.250
0.444,0.306,0.250
0.441,0.294,0.265
0.437,0.312,0.250
0.437,0.312,0.250
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.433,0.300,0.267
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.414,0.310,0.276
0.429,0.321,0.250
0.414,0.310,0.276
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.429,0.321,0.250
0.429,0.321,0.250
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.429,0.321,0.250
0.429,0.321,0.250
0.414,0.310,0.276
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.437,0.312,0.250
0.437,0.312,0.250
0.424,0.303,0.273
0.429,0.314,0.257
0.429,0.314,0.257
0.441,0.294,0.265
0.429,0.314,0.257
0.424,0.303,0.273
0.424,0.303,0.273
0.437,0.312,0.250
0.419,0.323,0.258
0.419,0.323,0.258
0.414,0.310,0.276
0.429,0.321,0.250
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.417,0.333,0.250
0.400,0.360,0.240
0.400,0.360,0.240
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.400,0.360,0.240
0.400,0.360,0.240
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.400,0.360,0.240
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.429,0.321,0.250
0.414,0.310,0.276
0.414,0.310,0.276
0.400,0.333,0.267
0.400,0.333,0.267
0.414,0.310,0.276
0.429,0.321,0.250
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.385,0.346,0.269
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.414,0.310,0.276
0.400,0.333,0.267
0.419,0.323,0.258
0.419,0.323,0.258
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.424,0.303,0.273
0.424,0.303,0.273
0.424,0.303,0.273
0.424,0.303,0.273
0.424,0.303,0.273
0.424,0.303,0.273
0.424,0.303,0.273
0.437,0.312,0.250
0.437,0.312,0.250
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.437,0.312,0.250
0.437,0.312,0.250
0.412,0.324,0.265
0.412,0.324,0.265
0.429,0.314,0.257
0.429,0.314,0.257
0.429,0.314,0.257
0.412,0.324,0.265
0.412,0.324,0.265
0.437,0.312,0.250
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.429,0.321,0.250
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.407,0.333,0.259
0.429,0.321,0.250
0.429,0.321,0.250
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.419,0.323,0.258
0.437,0.312,0.250
0.437,0.312,0.250
0.412,0.324,0.265
0.412,0.324,0.265
0.412,0.324,0.265
0.412,0.324,0.265
0.412,0.324,0.265
0.412,0.324,0.265
0.412,0.324,0.265
0.412,0.324,0.265
0.412,0.324,0.265
0.412,0.324,0.265
