Red,Green,Blue
0.583,0.194,0.222
0.583,0.194,0.222
0.595,0.189,0.216
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.639,0.167,0.194
0.639,0.167,0.194
0.629,0.171,0.200
0.639,0.167,0.194
0.639,0.167,0.194
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.622,0.162,0.216
0.622,0.162,0.216
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.615,0.179,0.205
0.615,0.179,0.205
0.610,0.171,0.220
0.595,0.190,0.214
0.605,0.186,0.209
0.605,0.186,0.209
0.605,0.186,0.209
0.595,0.190,0.214
0.595,0.190,0.214
0.595,0.190,0.214
0.595,0.190,0.214
0.595,0.190,0.214
0.595,0.190,0.214
0.595,0.190,0.214
0.595,0.190,0.214
0.595,0.190,0.214
0.595,0.190,0.214
0.610,0.171,0.220
0.610,0.171,0.220
0.610,0.171,0.220
0.610,0.171,0.220
0.610,0.171,0.220
0.610,0.171,0.220
0.610,0.171,0.220
0.615,0.179,0.205
0.615,0.179,0.205
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.615,0.179,0.205
0.632,0.158,0.211
0.632,0.158,0.211
0.667,0.139,0.194
0.667,0.139,0.194
0.667,0.139,0.194
0.667,0.139,0.194
0.667,0.139,0.194
0.667,0.139,0.194
0.667,0.139,0.194
0.676,0.118,0.206
0.676,0.118,0.206
0.676,0.118,0.206
0.676,0.118,0.206
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.667,0.139,0.194
0.667,0.139,0.194
0.657,0.143,0.200
0.657,0.143,0.200
0.667,0.139,0.194
0.667,0.139,0.194
0.667,0.139,0.194
0.667,0.139,0.194
0.649,0.162,0.189
0.649,0.162,0.189
0.649,0.162,0.189
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.641,0.154,0.205
0.641,0.154,0.205
0.625,0.175,0.200
0.625,0.175,0.200
0.625,0.175,0.200
0.625,0.175,0.200
0.625,0.175,0.200
0.625,0.175,0.200
0.641,0.154,0.205
