Red,Green,Blue
0.500,0.267,0.233
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.492,0.270,0.238
0.492,0.270,0.238
0.500,0.266,0.234
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.492,0.277,0.231
0.500,0.266,0.234
0.500,0.266,0.234
0.492,0.277,0.231
0.500,0.273,0.227
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.500,0.273,0.227
0.500,0.273,0.227
0.492,0.277,0.231
0.492,0.277,0.231
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.492,0.270,0.238
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.500,0.266,0.234
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.500,0.273,0.227
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.493,0.275,0.232
0.500,0.265,0.235
0.493,0.275,0.232
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.500,0.273,0.227
0.500,0.273,0.227
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.500,0.273,0.227
0.500,0.273,0.227
0.500,0.273,0.227
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.500,0.265,0.235
0.493,0.269,0.239
0.493,0.269,0.239
0.500,0.273,0.227
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.500,0.273,0.227
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.269,0.239
0.493,0.275,0.232
0.500,0.271,0.229
0.500,0.271,0.229
0.500,0.271,0.229
0.500,0.271,0.229
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.500,0.265,0.235
0.493,0.269,0.239
0.493,0.269,0.239
0.500,0.273,0.227
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.484,0.281,0.234
0.492,0.270,0.238
0.484,0.281,0.234
0.492,0.277,0.231
0.492,0.277,0.231
0.492,0.277,0.231
0.485,0.273,0.242
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.275,0.232
0.486,0.286,0.229
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.480,0.280,0.240
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.286,0.229
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.486,0.286,0.229
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.284,0.230
0.486,0.284,0.230
0.480,0.280,0.240
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.486,0.286,0.229
0.479,0.282,0.239
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.280,0.227
0.493,0.280,0.227
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.493,0.280,0.227
0.493,0.280,0.227
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.280,0.227
0.493,0.280,0.227
0.493,0.280,0.227
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.479,0.282,0.239
0.493,0.275,0.232
0.479,0.282,0.239
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.479,0.282,0.239
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.271,0.243
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.479,0.282,0.239
0.493,0.282,0.225
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.282,0.225
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.286,0.229
0.486,0.286,0.229
0.493,0.275,0.232
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.273,0.242
0.485,0.273,0.242
0.485,0.273,0.242
0.493,0.269,0.239
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.274,0.233
0.486,0.284,0.230
0.487,0.276,0.237
0.487,0.276,0.237
0.487,0.276,0.237
0.480,0.280,0.240
0.480,0.280,0.240
0.486,0.284,0.230
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.479,0.282,0.239
0.479,0.282,0.239
0.486,0.271,0.243
0.493,0.275,0.232
0.493,0.275,0.232
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.279,0.235
0.493,0.275,0.232
0.479,0.282,0.239
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.275,0.232
0.493,0.275,0.232
0.485,0.279,0.235
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.493,0.275,0.232
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.280,0.227
0.487,0.276,0.237
0.481,0.286,0.234
0.480,0.280,0.240
0.480,0.280,0.240
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.275,0.232
0.493,0.275,0.232
0.485,0.279,0.235
0.485,0.279,0.235
0.485,0.273,0.242
0.485,0.273,0.242
0.485,0.273,0.242
0.485,0.273,0.242
0.485,0.273,0.242
0.492,0.277,0.231
0.492,0.277,0.231
0.485,0.273,0.242
0.493,0.269,0.239
0.493,0.269,0.239
0.485,0.279,0.235
0.485,0.279,0.235
0.493,0.275,0.232
0.493,0.275,0.232
0.486,0.278,0.236
0.486,0.278,0.236
0.493,0.274,0.233
0.493,0.274,0.233
0.493,0.274,0.233
0.486,0.284,0.230
0.486,0.284,0.230
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.486,0.284,0.230
0.486,0.284,0.230
0.493,0.274,0.233
0.493,0.274,0.233
